Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.51302092626368,,,,77.25,81.0,72.0,,,,3,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.51302092626368,,,,79.75,83.0,78.0,,,,3,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.51302092626368,,,,78.75,80.0,77.0,,,,3,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.51302092626368,,,,76.0,78.0,75.0,,,,3,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.51302092626368,,,,84.25,89.0,80.0,,,,3,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.51302092626368,,,,86.0,88.0,85.0,,,,3,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.51302092626368,,,,79.75,83.0,76.0,,,,3,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.51302092626368,,,,79.25,84.0,75.0,,,,3,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.51302092626368,,,,79.75,82.0,77.0,,,,3,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.51302092626368,,,,78.75,80.0,78.0,,,,3,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.51302092626368,,,,77.25,81.0,75.0,,,,3,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.51302092626368,,,,76.5,80.0,72.0,,,,3,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.51302092626368,,,,77.5,97.0,70.0,,,,3,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.51302092626368,,,,75.75,78.0,75.0,,,,3,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.51302092626368,,,,77.25,80.0,75.0,,,,3,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.51302092626368,,,,78.0,80.0,75.0,,,,3,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.51302092626368,,,,79.25,87.0,76.0,,,,3,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.51302092626368,,,,92.25,101.0,82.0,,,,3,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.51302092626368,,,,75.75,82.0,73.0,,,,3,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.51302092626368,,,,72.0,73.0,70.0,,,,3,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.51302092626368,,,,71.25,78.0,67.0,,,,3,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.51302092626368,,,,71.0,73.0,70.0,,,,3,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.51302092626368,,,,72.25,77.0,70.0,,,,3,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.51302092626368,,,,74.5,75.0,74.0,,,,3,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.51302092626368,,,,75.75,76.0,75.0,,,,3,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.51302092626368,,,,75.25,79.0,66.0,,,,3,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.51302092626368,,,,76.5,85.0,73.0,,,,3,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.51302092626368,,,,69.0,71.0,66.0,,,,3,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.51302092626368,,,,81.0,85.0,72.0,,,,3,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.51302092626368,,,,79.75,86.0,77.0,,,,24,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.51302092626368,,,,81.5,99.0,73.0,,,,74,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.51302092626368,,,,70.0,78.0,63.0,,,,219,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.51302092626368,,,,73.75,76.0,72.0,,,,313,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.51302092626368,,,,81.0,93.0,75.0,,,,313,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,5,34.89422562103488,282.91282051282053,4.0,4,77.75,89.0,70.0,,,,659,,,,,256000
08:45:00.000+05:30,09:00:00.000+05:30,15,88.68131868131869,994.6153846153846,15.0,15,104.5,111.0,102.0,,,,1531,,,,,900000
09:00:00.000+05:30,09:15:00.000+05:30,15,88.68131868131869,994.6153846153846,15.0,15,103.25,108.0,100.0,1.1051281690597534,1.1051281690597534,1.1051281690597534,1531,,,,,900000
09:15:00.000+05:30,09:30:00.000+05:30,11,69.80572373390896,744.8564102564103,11.0,11,111.5,118.0,100.0,,,,1156,,,,,674000
09:30:00.000+05:30,09:45:00.000+05:30,8,13.513020757072429,394.7047715852268,,,82.25,103.0,75.0,,,,723,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,15,13.513021259090948,762.4035163898874,,,74.0,74.0,74.0,,,,1359,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,15,13.513021259090948,762.4035163898874,,,,,,0.8471150994300842,0.8471150994300842,0.8471150994300842,1359,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,15,13.513021259090948,762.4035163898874,,,,,,,,,1359,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,11,20.639026507008516,557.8372747511316,,,73.0,73.0,73.0,,,,997,,,,,51000
10:45:00.000+05:30,11:00:00.000+05:30,15,139.26605504587155,1104.770642201835,15.0,15,121.5,132.0,97.0,1.2275229692459106,1.2275229692459106,1.2275229692459106,1704,,,,,900000
11:00:00.000+05:30,11:15:00.000+05:30,15,109.08532688641381,1142.5050979932423,17.0,14,146.5,148.0,143.0,,,,1723,,,,,684000
11:15:00.000+05:30,11:30:00.000+05:30,15,13.513021316159778,1558.6452566062271,30.0,15,93.0,142.0,76.0,,,,2193,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,15,13.513021316159778,1558.6452566062271,30.0,15,80.5,84.0,76.0,1.731827974319458,1.731827974319458,1.731827974319458,2193,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,15,13.513021316159778,1558.6452566062271,30.0,15,74.0,81.0,65.0,,,,2193,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,15,13.513021316159778,1558.6452566062271,30.0,15,82.75,88.0,75.0,,,,2193,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,15,13.513020960351502,466.1790324564431,2.0,1,78.0,87.0,73.0,,,,795,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,15,13.513020924184367,355.1322219890184,,,74.75,84.0,71.0,,,,654,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,15,13.513020924184367,355.1322219890184,,,78.75,81.0,77.0,0.3945913314819336,0.3945913314819336,0.3945913314819336,654,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,15,13.513020924184367,355.1322219890184,,,75.5,76.0,75.0,,,,654,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,15,13.51302021616348,1371.5853412681295,26.0,13,91.5,101.0,78.0,,,,1977,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,15,13.513020134636522,1488.627549955435,30.0,15,91.75,97.0,79.0,,,,2129,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,15,13.513020134636522,1488.627549955435,30.0,15,94.75,99.0,90.0,1.6540305614471436,1.6540305614471436,1.6540305614471436,2129,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,15,13.513020134636522,1488.627549955435,30.0,15,87.5,88.0,86.0,,,,2129,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,15,13.513020134636522,1488.627549955435,30.0,15,86.25,90.0,85.0,,,,2129,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,15,13.513018756260184,368.48882591928253,,,86.0,87.0,85.0,,,,668,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,15,13.513018732722042,349.3605326995563,,,84.0,85.0,82.0,,,,643,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,15,13.513018732722042,349.3605326995563,,,88.25,90.0,87.0,0.38817837834358215,0.38817837834358215,0.38817837834358215,643,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,15,13.513018732722042,349.3605326995563,,,89.25,92.0,87.0,,,,643,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,13.51302005218099,1851.0614837935618,27.0,14,87.75,90.0,83.0,,,,2422,,,,,
