Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Running duration (ms),Yoga duration (ms),Paced walking duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.51302045816801,,,,75.25,77.0,72.0,,,,123,,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.51302045816801,,,,79.75,85.0,72.0,,,,123,,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.51302045816801,,,,76.75,80.0,73.0,,,,123,,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.51302045816801,,,,77.0,86.0,73.0,,,,123,,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.51302045816801,,,,79.5,80.0,79.0,,,,123,,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.51302045816801,,,,79.0,82.0,73.0,,,,123,,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.51302045816801,,,,76.5,79.0,72.0,,,,123,,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.51302045816801,,,,77.25,84.0,73.0,,,,123,,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.51302045816801,,,,71.75,75.0,70.0,,,,123,,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.51302045816801,,,,75.75,81.0,73.0,,,,123,,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.51302045816801,,,,73.5,77.0,69.0,,,,123,,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.51302045816801,,,,73.75,78.0,71.0,,,,123,,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.51302045816801,,,,72.0,77.0,66.0,,,,123,,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.51302045816801,,,,71.0,74.0,70.0,,,,123,,,,,,,
