Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513021298991614,,,,69.0,72.0,64.0,,,,8,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513021298991614,,,,72.0,75.0,71.0,,,,8,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513021298991614,,,,72.75,75.0,72.0,,,,8,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513021298991614,,,,70.0,71.0,68.0,,,,8,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513021298991614,,,,68.0,68.0,68.0,,,,8,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513021298991614,,,,64.25,69.0,62.0,,,,8,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513021298991614,,,,65.0,71.0,63.0,,,,8,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513021298991614,,,,69.0,71.0,65.0,,,,8,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513021298991614,,,,71.25,74.0,67.0,,,,8,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513021298991614,,,,63.75,65.0,62.0,,,,8,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513021298991614,,,,65.75,67.0,64.0,,,,8,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513021298991614,,,,63.5,64.0,63.0,,,,8,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513021298991614,,,,63.0,64.0,62.0,,,,8,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513021298991614,,,,68.0,75.0,61.0,,,,8,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513021298991614,,,,62.25,63.0,61.0,,,,8,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513021298991614,,,,68.0,73.0,65.0,,,,8,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513021298991614,,,,64.25,65.0,64.0,,,,8,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513021298991614,,,,65.25,67.0,63.0,,,,8,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513021298991614,,,,63.75,66.0,61.0,,,,8,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513021298991614,,,,66.0,79.0,60.0,,,,8,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513021298991614,,,,65.75,71.0,63.0,,,,8,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513021298991614,,,,62.75,66.0,61.0,,,,8,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513021298991614,,,,67.25,68.0,65.0,,,,8,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513021298991614,,,,65.25,67.0,62.0,,,,8,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513021298991614,,,,63.75,64.0,63.0,,,,8,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.513021298991614,,,,65.0,67.0,61.0,,,,8,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.513021298991614,,,,61.75,63.0,58.0,,,,8,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.513021298991614,,,,77.75,97.0,56.0,,,,8,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.513021298991614,,,,88.5,99.0,76.0,,,,8,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.513021298991614,,,,64.75,68.0,62.0,,,,8,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.513021298991614,,,,75.0,75.0,75.0,,,,8,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.513021298991614,,,,94.0,100.0,88.0,,,,8,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.513021298991614,,,,63.5,68.0,60.0,,,,8,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.513021298991614,,,,68.0,70.0,64.0,,,,8,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.51302045991017,,,,69.5,86.0,63.0,,,,10,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.513020223089844,,,,80.5,87.0,72.0,,,,11,,,
09:00:00.000+05:30,09:15:00.000+05:30,,13.513020223089844,,,,68.25,80.0,64.0,,,,11,,,
09:15:00.000+05:30,09:30:00.000+05:30,,13.513020223089844,,,,75.5,90.0,60.0,,,,11,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.513020647925876,,,,79.75,97.0,72.0,,,,64,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.513020776268162,,,,77.75,90.0,73.0,,,,81,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.513020776268162,,,,79.0,93.0,74.0,,,,81,,,
10:15:00.000+05:30,10:30:00.000+05:30,,13.513020776268162,,,,76.5,79.0,71.0,,,,81,,,
