Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Yoga duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513019845519581,,,,79.25,82.0,77.0,,,,4,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513019845519581,,,,73.5,75.0,71.0,,,,4,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513019845519581,,,,74.5,77.0,72.0,,,,4,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513019845519581,,,,72.75,74.0,71.0,,,,4,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513019845519581,,,,70.25,74.0,67.0,,,,4,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513019845519581,,,,69.75,72.0,67.0,,,,4,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513019845519581,,,,68.75,72.0,67.0,,,,4,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513019845519581,,,,72.5,73.0,72.0,,,,4,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513019845519581,,,,74.5,75.0,74.0,,,,4,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513019845519581,,,,75.5,78.0,70.0,,,,4,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513019845519581,,,,72.75,79.0,69.0,,,,4,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513019845519581,,,,67.5,68.0,66.0,,,,4,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513019845519581,,,,66.0,69.0,65.0,,,,4,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513019845519581,,,,69.25,71.0,65.0,,,,4,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513019845519581,,,,74.25,76.0,71.0,,,,4,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513019845519581,,,,73.0,74.0,70.0,,,,4,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513019845519581,,,,66.25,70.0,64.0,,,,4,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513019845519581,,,,66.5,67.0,65.0,,,,4,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513019845519581,,,,67.0,68.0,66.0,,,,4,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513019845519581,,,,63.5,64.0,62.0,,,,4,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513019845519581,,,,68.75,73.0,65.0,,,,4,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513019845519581,,,,64.25,65.0,63.0,,,,4,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513019845519581,,,,79.25,85.0,68.0,,,,4,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513019845519581,,,,80.0,87.0,73.0,,,,4,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,9,13.513020371787194,293.9798413835644,,,82.5,102.0,64.0,0.5558220148086548,0.5558220148086548,0.5558220148086548,543,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,15,68.64860503049461,92.82228263987307,,,101.75,121.0,73.0,0.0,0.0,0.0,920,,,,733000,
06:30:00.000+05:30,06:45:00.000+05:30,15,106.60845662359093,791.666490524441,11.0,11,111.25,123.0,100.0,0.556511640548706,0.556511640548706,0.556511640548706,1438,,,,209000,650000
06:45:00.000+05:30,07:00:00.000+05:30,15,120.64714946070879,1064.5608628659477,15.0,15,123.5,127.0,119.0,1.1828453540802002,1.1828453540802002,1.1828453540802002,1637,,,,,900000
07:00:00.000+05:30,07:15:00.000+05:30,7,60.771074883860805,470.13288647300715,6.0,6,121.0,124.0,118.0,,,,811,,,,,397000
07:15:00.000+05:30,07:30:00.000+05:30,6,13.513019999151773,2242.868157346096,12.0,6,95.25,100.0,85.0,6.518033027648926,6.518033027648926,6.518033027648926,3011,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,2,13.513020885120554,612.6103582789043,4.0,2,76.25,83.0,72.0,,,,856,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.51302098843098,,,,76.0,76.0,76.0,,,,67,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.51302098843098,,,,76.0,82.0,70.0,,,,67,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.51302098843098,,,,74.0,80.0,70.0,,,,67,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,5,13.513020740023116,139.0391271495204,,,79.5,90.0,70.0,,,,301,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,15,13.513020231159187,423.8610101195635,,,79.25,96.0,71.0,,,,780,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,15,13.513020231159187,423.8610101195635,,,78.25,81.0,74.0,,,,780,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,15,13.513020231159187,423.8610101195635,,,74.5,80.0,68.0,0.4709566831588745,0.4709566831588745,0.4709566831588745,780,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,15,13.513020231159187,423.8610101195635,,,69.75,76.0,67.0,,,,780,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,8,13.513020584228226,213.6122913566006,,,66.5,72.0,64.0,,,,550,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,8,13.513021029661875,273.566453241159,,,69.75,77.0,60.0,,,,651,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,15,13.513021105756977,513.6262149989634,,,70.25,73.0,64.0,,,,945,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,15,13.513021105756977,513.6262149989634,,,75.75,82.0,66.0,0.5706958174705505,0.5706958174705505,0.5706958174705505,945,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,15,13.513021105756977,513.6262149989634,,,72.5,82.0,68.0,,,,945,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,8,13.513021105756977,272.22189394945065,,,66.25,68.0,64.0,,,,543,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,13.513021105756977,,,,67.75,69.0,64.0,,,,90,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.513021105756977,,,,72.5,83.0,69.0,,,,90,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.513021105756977,,,,81.0,82.0,79.0,,,,90,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,6,13.51302062764724,211.9540129484463,,,83.75,87.0,75.0,,,,444,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,15,13.513019903348344,533.0477825475646,,,86.0,89.0,80.0,,,,981,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,15,13.513019903348344,533.0477825475646,,,80.0,86.0,66.0,0.5922753214836121,0.5922753214836121,0.5922753214836121,981,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,15,13.513019903348344,533.0477825475646,,,72.25,75.0,66.0,,,,981,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,15,13.51302019236413,574.0842561594602,,,76.5,87.0,67.0,,,,1056,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,15,13.51302064971773,639.022503931719,,,92.0,101.0,79.0,,,,1176,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,15,13.51302064971773,639.022503931719,,,85.75,95.0,75.0,0.7100249528884888,0.7100249528884888,0.7100249528884888,1176,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,15,13.51302030175251,587.963895131338,,,86.5,95.0,76.0,,,,1082,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,15,13.513019876427315,525.553885770065,,,87.25,90.0,81.0,,,,967,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,15,13.513019876427315,525.553885770065,,,82.25,83.0,80.0,0.5839487910270691,0.5839487910270691,0.5839487910270691,967,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,15,13.513019876427315,525.553885770065,,,102.25,155.0,80.0,,,,967,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,15,13.513019876427315,1862.7036097440061,12.0,6,80.25,85.0,78.0,4.469227313995361,4.469227313995361,4.469227313995361,2595,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,15,13.513020390195615,1500.800086995718,9.0,5,77.5,79.0,77.0,,,,2156,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,15,13.513020588726988,526.4352506352275,,,75.75,84.0,72.0,,,,969,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,13.513020588726988,526.4352506352275,,,79.0,89.0,74.0,0.584928035736084,0.584928035736084,0.584928035736084,969,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,15,13.513020588726988,526.4352506352275,,,81.25,84.0,79.0,,,,969,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,15,13.51302019649361,569.2024703025727,,,81.0,88.0,72.0,,,,1048,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,15,13.513019994891861,591.1841440820491,,,74.25,76.0,73.0,,,,1088,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,15,13.513019994891861,591.1841440820491,,,76.25,105.0,65.0,0.6568712592124939,0.6568712592124939,0.6568712592124939,1088,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,15,13.513019994891861,591.1841440820491,,,92.0,97.0,78.0,,,,1088,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,15,13.513020324647965,716.7728909551146,,,80.0,86.0,78.0,,,,1282,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,15,13.51302050343989,784.8664112205569,,,81.0,94.0,73.0,,,,1387,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,15,13.51302050343989,784.8664112205569,,,88.5,96.0,75.0,0.872073769569397,0.872073769569397,0.872073769569397,1387,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,15,13.51302050343989,784.8664112205569,,,90.75,96.0,81.0,,,,1387,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,15,13.513020124291053,715.8653217485157,,,73.75,79.0,70.0,,,,1297,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,15,13.513019908516194,676.5965733527992,,,73.25,85.0,67.0,,,,1245,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,15,13.513019908516194,676.5965733527992,,,75.75,80.0,70.0,0.75177401304245,0.75177401304245,0.75177401304245,1245,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,15,13.513019960780795,701.305508256153,1.0,1,76.25,80.0,74.0,,,,1276,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,15,13.513020351236436,885.899726475854,15.0,15,70.75,82.0,67.0,,,,1507,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,15,13.513020351236436,885.899726475854,15.0,15,86.25,97.0,67.0,0.9843329787254333,0.9843329787254333,0.9843329787254333,1507,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,15,13.513020351236436,885.899726475854,15.0,15,78.5,83.0,75.0,,,,1507,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,15,13.513020455188393,883.1500569175413,14.0,14,75.0,82.0,72.0,,,,1504,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,15,13.513021443666018,857.0034898312396,,,84.5,105.0,75.0,,,,1473,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,15,13.513021443666018,857.0034898312396,,,92.25,105.0,80.0,0.9522261023521423,0.9522261023521423,0.9522261023521423,1473,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,15,13.513021443666018,857.0034898312396,,,85.5,95.0,75.0,,,,1473,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,15,13.513021263459155,858.0125591556629,,,81.0,84.0,76.0,,,,1474,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,15,13.513019286820224,869.0807597921544,,,80.75,85.0,79.0,,,,1488,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,15,13.513019286820224,869.0807597921544,,,77.25,80.0,75.0,0.9656453132629395,0.9656453132629395,0.9656453132629395,1488,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,15,13.513019286820224,869.0807597921544,,,79.75,88.0,74.0,,,,1488,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,15,13.513019286820224,868.5237783469161,,,83.75,86.0,79.0,,,,1487,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,15,13.513019286820224,794.4517139808634,,,82.25,90.0,70.0,,,,1398,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,15,13.513019286820224,794.4517139808634,,,79.75,89.0,68.0,,,,1398,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,15,13.513019286820224,794.4517139808634,,,87.5,90.0,84.0,0.8827241063117981,0.8827241063117981,0.8827241063117981,1398,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,15,13.513019286820224,794.4517139808634,,,86.25,87.0,86.0,,,,1398,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,15,13.513019286820224,794.4517139808634,,,81.0,87.0,75.0,,,,1398,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,5,13.513019439354096,260.5978166682561,,,75.5,77.0,71.0,,,,459,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,13.513019513812655,,,,71.25,74.0,70.0,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,13.513019513812655,,,,73.5,78.0,71.0,,,,,,,,,
