Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Yoga duration (ms),Other duration (ms),Paced walking duration (ms)
2021-12-16,,1288.273087141417,,,,76.71881697497464,82.0,69.0,,,,72,56.400001525878906,56.900001525878906,55.900001525878906,,,,,,
2021-12-17,60,1827.7232523675586,4556.0,80.0,59,78.77163169701362,166.0,71.0,3.843812440294425,6.900000095367432,1.1091381311416626,7429,,,,,2309000,1256000,,,
2021-12-18,86,1948.9254010272764,5800.0,41.0,30,81.57676020107583,162.0,68.0,3.8889833184219778,7.0,1.0101735591888428,9503,,,,,4482000,668000,,,
2021-12-19,41,1646.4944923618339,3008.0,40.0,40,88.05276301703093,140.0,81.0,3.0643791556358337,4.900000095367432,1.2287582159042358,8952,,,,,2448000,,,,
2021-12-20,32,1682.9777012171614,2996.0,62.0,31,93.95767767632388,167.0,71.0,4.045539021492004,6.5,1.5910780429840088,6087,,,,,,1883000,,,
2021-12-21,59,1849.5942149173934,5011.0,78.0,58,118.01426078768664,162.0,77.0,3.4400437006995026,6.5,1.3029515743255615,8341,,,,,2304000,1203000,,,
2021-12-22,27,1554.5721668725537,2010.0,26.0,26,85.26086530310585,150.0,76.0,3.1372860074043274,5.0,1.2745720148086548,4762,,,,,1577000,,,,
2021-12-23,,1297.249936005799,,,,84.75147897382595,174.0,61.0,,,,1703,,,,,,,,,
2021-12-24,153,1297.249935993708,35612.99592590332,300.0,150,88.94425087108014,189.0,56.0,2.6569009571535953,6.090977668762207,0.8300292491912842,67887,,,,,,,,,
2021-12-25,940,1304.8235770071478,134513.92083740234,1743.0,902,77.85714285714286,143.0,60.0,2.438945345040761,3.562457323074341,0.8390830159187317,178422,,,,,,95000,,,
2021-12-26,354,1297.2499894501607,16194.306720733643,130.0,78,75.75949367088607,120.0,61.0,0.6870668643528021,2.2532687187194824,0.34127068519592285,30037,,,,,,,,,
2021-12-27,334,2658.9710585032935,73004.63381958008,648.0,325,82.3529411764706,184.0,57.0,2.3572686688265136,7.497691631317139,0.45992007851600647,99459,,,,,,6146000,,,
2021-12-28,533,1673.3324637383546,53309.03116893768,475.0,296,80.55052264808363,186.0,61.0,1.7957518047803607,4.814975261688232,0.2519167363643646,79213,,,,,,573000,,2019000,
2021-12-29,701,2830.8911266528307,124523.6555557251,1044.0,599,85.41289198606272,173.0,56.0,2.517716448584756,7.4695048332214355,0.32239463925361633,171038,,,,,,5675000,,2541000,
2021-12-30,244,1297.2499478053714,58549.61067199707,416.0,208,77.16550522648083,113.0,61.0,2.328040571550715,7.599911689758301,0.4954139292240143,80731,,,,,,,,,
2021-12-31,531,1651.8096814590442,62237.6630859375,636.0,383,76.73170731707317,166.0,58.0,2.0233871659979954,6.7193427085876465,0.2638323903083801,89222,,,,,,,,2094000,
2022-01-01,870,1754.9751953096015,145542.5848236084,1480.0,822,77.88675958188153,179.0,60.0,2.9521651829045807,6.121306419372559,0.8303467035293579,194936,,,,,,,,2749000,
2022-01-02,595,1861.3541631819894,89562.92379760742,986.0,501,75.86062717770035,171.0,53.0,2.57521393932452,4.910236835479736,0.6057690382003784,122346,,,,,,,,3856000,
