date dd-mm-yyyy,day,start time,distance km,duration hh:mm:ss,calories kcal,avgpace /km,avgspeed kmph,avgcadence /min,numsteps,avghr bpm,avgstride cm,aerobic m,anaerobic m,fatburn m,warmup m,type,where,remarks,,,
17-12-2021,Friday,6:09 PM,1.99,0:20:56,272,10'29'',5.71,177,3003,166,66,11,6,0,0,,,,,,
18-12-2021,Saturday,10:27 AM,0.99,0:10:04,125,10'4'',5.95,180,1503,162,66,6,2,0,0,,,,total distance,173.65,km
19-12-2021,Sunday,8:55 AM,1,0:09:45,120,9'43'',6.17,174,1501,161,66,6,1,0,0,,,,total calories,21246,kcal
20-12-2021,Monday,5:03 PM,2.99,0:31:23,414,10'28'',5.72,168,4529,167,66,19,9,1,0,shoes,outdoor,,total aerobic,1372,m
21-12-2021,Tuesday,4:51 PM,2,0:20:03,249,9'58'',6.01,169,3032,162,66,10,5,0,0,shoes,outdoor,,total anerobic,111,m
22-12-2021,Wednesday,4:14 PM,3,0:30:09,413,10'1'',5.98,164,4545,171,66,11,16,0,0,shoes,outdoor,,total fatburn,105,m
23-12-2021,Thursday,5:55 PM,5.01,0:48:37,608,9'42'',6.17,170,7465,162,0,43,0,4,0,barefeet,indoor,app update,total warmup,16,m
24-12-2021,Friday,6:15 PM,10.01,1:38:15,1278,9'48'',6.11,177,14984,166,0,94,0,1,1,barefeet,indoor,,,,
27-12-2021,Monday,5:14 PM,10.01,1:42:26,1454,10'14'',5.86,168,15147,174,0,35,63,2,0,barefeet,outdoor,,,,
28-12-2021,Tuesday,5:48 PM,1,0:09:33,131,9'34'',6.27,176,1490,172,0,3,5,0,0,shoes,outdoor,,,,
29-12-2021,Wednesday,5:48 PM,10.01,1:34:35,1250,09'26'',6.34,176,14849,168,0,91,0,1,0,barefeet,indoor,,,,
03-01-2022,Monday,5:01 PM,2.5,0:25:53,326,10'20'',5.79,167,3803,163,,22,0,1,0,shoes,outdoor,recovery run,,,
04-01-2022,Tuesday,5:06 PM,3.03,0:29:49,345,9'49'',6.10,170,4564,156,,25,0,3,0,barefeet,indoor,recovery run,,,
05-01-2022,Wednesday,5:02 PM,3,0:28:39,367,9'31'',6.29,174,4479,165,,26,0,0,0,barefeet,indoor,recovery run,,,
06-01-2022,Thursday,6:49 PM,3.17,0:30:02,388,9'27'',6.34,173,4719,166,,26,1,0,0,barefeet,indoor,recovery run,,,
07-01-2022,Friday,5:13 PM,5,0:49:33,603,9'53'',6.06,170,7508,160,,44,0,1,1,barefeet,indoor,,,,
08-01-2022,Saturday,5:50 PM,3.01,0:29:15,342,9'42'',6.18,171,4501,156,,25,0,1,1,barefeet,indoor,,,,
09-01-2022,Sunday,4:57 PM,6.02,0:58:26,719,9'42'',6.18,181,9004,161,,47,1,4,2,barefeet,indoor,,,,
10-01-2022,Monday,5:50 PM,3.01,0:28:19,306,9'23'',6.38,179,4483,150,,16,0,9,1,barefeet,indoor,,,,
11-01-2022,Tuesday,5:11 PM,3.01,0:29:04,342,9'38'',6.22,169,4491,157,,26,0,0,0,barefeet,indoor,,,,
12-01-2022,Wednesday,7:14 PM,1.01,0:09:56,115,09'48'',6.11,170,1529,157,,8,0,0,0,barefeet,indoor,recovery run,,,
13-01-2022,Thursday,6:03 PM,5.01,0:48:20,552,09'38'',6.22,155,7469,168,,33,0,13,0,barefeet,indoor,,,,
16-01-2022,Sunday,5:34 PM,10.01,1:38:06,1241,9'47'',6.12,171,14976,163,,93,0,2,1,barefeet,indoor,,,,
17-01-2022,Monday,4:46 PM,1.51,0:14:58,153,9'51'',6.08,165,2283,147,,0,0,14,0,barefeet,indoor,,,,
23-01-2022,Sunday,5:33 PM,6.26,1:03:05,778,10'03'',5.96,167,9469,161,,56,0,2,1,barefeet,indoor,recovery run,,,
25-01-2022,Tuesday,4:34 PM,5.01,0:48:45,588,9'43'',6.16,169,7482,159,,42,0,4,1,barefeet,indoor,,,,
31-01-2022,Sunday,4:41 PM,10.01,1:37:12,1224,9'42'',6.18,176,14945,163,,86,0,5,3,barefeet,indoor,,,,
02-02-2022,Wednesday,4:38 PM,6.01,1:00:29,703,10'03'',5.96,171,9087,156,,45,0,10,2,barefeet,indoor,,,,
04-02-2022,Friday,5:33 PM,10.01,1:38:42,1245,9'51'',6.08,170,15018,163,,97,0,0,0,barefeet,indoor,no break,,,
06-02-2022,Sunday,4:36 PM,11.01,1:49:42,1359,9'57'',6.02,169,16587,162,,104,0,3,0,barefeet,indoor,,,,
07-02-2022,Monday,6:39 AM,2.01,0:19:09,230,9'30'',6.30,172,2991,159,,11,1,3,0,shoes,outdoor,,,,
08-02-2022,Tuesday,6:34 AM,2.01,0:19:15,218,9'34'',6.27,173,2987,153,,11,1,2,1,shoes,outdoor,,,,
09-02-2022,Wednesday,6:30 AM,1,0:09:32,110,9'28'',6.33,177,1492,156,,8,0,0,0,shoes,outdoor,,,,
10-02-2022,Thursday,6:42 AM,1,0:09:35,118,9'31'',6.30,174,1491,162,,8,0,0,0,shoes,outdoor,,,,
11-02-2022,Friday,5:44 PM,10.01,1:36:00,1187,9'35'',6.25,175,14892,161,,90,0,3,0,barefeet,indoor,,,,
13-02-2022,Sunday,4:49 PM,12.01,1:55:18,1373,9'35'',6.25,170,17866,158,,94,0,16,1,barefeet,indoor,,,,
