date dd-mm-yyyy,Day,start time,distance km,duration hh:mm:ss,calories kcal,avgpace /km,avgspeed kmph,avgcadence /min,numsteps,avghr bpm,avgstride cm,aerobic m,anaerobic m,fatburn m,warmup m,,,,,,
17-12-2021,Friday,7:55 PM,2.56,0:38:29,312,15'1'',3.99,115,3942,126,64,2,0,9,24,,,,,,
18-12-2021,Saturday,10:06 AM,1.05,0:15:02,117,14'13'',4.21,129,1630,123,64,0,0,0,13,,,,total distance,104.42,km
19-12-2021,Sunday,5:33 PM,3,0:40:48,386,13'33'',4.42,127,4630,140,64,1,0,33,5,,,,total calories,13055,kcal
20-12-2021,Monday,7:04 AM,2,0:25:37,344,12'45'',4.7,133,3087,168,65,2,15,2,3,,,,total aerobic,202,m
21-12-2021,Tuesday,6:59 AM,3,0:38:24,356,12'47'',4.69,135,4625,138,64,0,0,28,7,,,,total anerobic,26,m
22-12-2021,Wednesday,6:54 AM,2,0:26:17,281,13'4'',4.58,128,3092,150,65,2,4,18,0,,,,total fatburn,393,m
23-12-2021,Thursday,7:18 AM,2.01,0:26:07,194,13'00'',4.61,128,3091,120,0,0,0,2,19,,,,total warmup,609,m
24-12-2021,Friday,6:39 AM,3.01,0:38:17,418,12'43'',4.71,141,4631,151,0,6,5,22,3,,,,,,
28-12-2021,Tuesday,12:25 PM,2.16,0:33:39,284,15'36'',3.84,115,3318,131,0,5,0,13,5,,,,,,
29-12-2021,Wednesday,12:15 PM,2.5,0:42:21,407,16'57'',3.53,113,3843,140,0,11,0,17,7,,,,,,
31-12-2021,Friday,1:30 PM,2.15,0:34:54,386,16'11'',3.7,113,3321,152,,24,0,7,1,,,,,,
01-01-2022,Saturday,9:09 AM,3.01,0:45:49,499,15'11'',3.95,124,4645,150,,20,2,13,6,,,,,,
02-01-2022,Sunday,1:47 PM,3.07,0:50:00,500,16'15'',3.69,119,4735,144,,13,0,26,6,,,,,,
03-01-2022,Monday,6:35 AM,2,0:27:41,270,13'48'',4.34,124,3084,143,,5,0,19,1,,,,,,
04-01-2022,Tuesday,6:31 AM,2.16,0:30:29,383,14'03'',4.26,150,3341,163,,27,0,0,0,,,,,,
05-01-2022,Wednesday,6:33 AM,2.2,0:30:18,282,13'44'',4.36,123,3396,138,,5,0,9,14,,,,,,
06-01-2022,Thursday,6:27 AM,2.3,0:32:24,270,14'04'',4.26,119,3543,129,,0,0,12,18,,,,,,
07-01-2022,Friday,7:15 AM,2.01,0:27:39,262,13'41'',4.38,122,3113,140,,2,0,17,8,,,,,,
08-01-2022,Saturday,7:18 AM,2,0:28:40,358,14'15'',4.2,118,3099,162,,26,0,0,0,,,,,,
09-01-2022,Sunday,8:40 AM,3.01,0:45:30,269,15'04'',3.97,114,4643,109,,0,0,1,15,,,,,,
10-01-2022,Monday,6:47 AM,2.01,0:27:39,229,13'42'',4.37,125,3104,129,,0,0,11,15,,,,,,
11-01-2022,Tuesday,6:55 AM,2.4,0:33:39,297,13'58'',4.29,200,3714,135,,1,0,20,10,,,,,,
12-01-2022,Wednesday,6:51 AM,2.6,0:34:52,295,13'23'',4.48,127,4011,133,,0,0,23,10,,,,,,
13-01-2022,Thursday,7:00 AM,2.02,0:27:54,246,13'47'',4.35,150,3118,135,,0,0,20,5,,,,,,
16-01-2022,Sunday,10:39 AM,2.5,0:41:39,280,16'37'',3.61,114,3858,114,,31,0,0,0,,,,,,
17-01-2022,Monday,6:56 AM,2.3,0:32:26,289,14'05'',4.25,119,3548,133,,7,0,7,16,,,,,,
19-01-2022,Wednesday,7:33 AM,3.14,0:53:52,379,17'06'',3.5,117,4844,117,,1,0,5,29,,,,,,
