date,sleep,deep,light,awake,rem,duration,calories,avgspeed,avghr,aerobic,anaerobic,fatburn,warmup,duration,calories,avgspeed,avghr,aerobic,anaerobic,fatburn,warmup
2021-12-20,422,103,319,51,,26,344,4.7,168,2,15,2,3,31,414,5.72,167,19,9,1,0
2021-12-20,422,103,319,51,,26,344,4.7,168,2,15,2,3,31,414,5.72,167,19,9,1,0
2021-12-20,422,103,319,51,,31,414,5.72,167,19,9,1,0,31,414,5.72,167,19,9,1,0
2021-12-21,443,78,365,39,,38,356,4.69,138,0,0,28,7,20,249,6.01,162,10,5,0,0
2021-12-21,443,78,365,39,,38,356,4.69,138,0,0,28,7,20,249,6.01,162,10,5,0,0
2021-12-21,443,78,365,39,,20,249,6.01,162,10,5,0,0,20,249,6.01,162,10,5,0,0
2021-12-22,504,111,277,4,116,26,281,4.58,150,2,4,18,0,30,413,5.98,171,11,16,0,0
2021-12-22,504,111,277,4,116,30,413,5.98,171,11,16,0,0,30,413,5.98,171,11,16,0,0
2021-12-22,504,111,277,4,116,26,281,4.58,150,2,4,18,0,30,413,5.98,171,11,16,0,0
2021-12-23,455,,,,,49,608,6.17,162,43,0,4,0,49,608,6.17,162,43,0,4,0
2021-12-23,455,,,,,26,194,4.61,120,0,0,2,19,49,608,6.17,162,43,0,4,0
2021-12-23,455,,,,,26,194,4.61,120,0,0,2,19,49,608,6.17,162,43,0,4,0
2021-12-24,401,83,201,0,117,38,418,4.71,151,6,5,22,3,98,1278,6.11,166,94,0,1,1
2021-12-24,401,83,201,0,117,38,418,4.71,151,6,5,22,3,98,1278,6.11,166,94,0,1,1
2021-12-24,401,83,201,0,117,98,1278,6.11,166,94,0,1,1,98,1278,6.11,166,94,0,1,1
2021-12-25,304,72,144,4,88,,,,,,,,,,,,,,,,
2021-12-26,395,74,191,0,130,,,,,,,,,,,,,,,,
2021-12-27,576,128,297,29,151,102,1454,5.86,174,35,63,2,0,102,1454,5.86,174,35,63,2,0
2021-12-28,446,88,308,44,50,34,284,3.84,131,5,0,13,5,10,131,6.27,172,3,5,0,0
2021-12-28,446,88,308,44,50,34,284,3.84,131,5,0,13,5,10,131,6.27,172,3,5,0,0
2021-12-28,446,88,308,44,50,10,131,6.27,172,3,5,0,0,10,131,6.27,172,3,5,0,0
2021-12-29,427,62,267,16,127,42,407,3.53,140,11,0,17,7,95,1250,6.34,168,91,0,1,0
2021-12-29,427,62,267,16,127,95,1250,6.34,168,91,0,1,0,95,1250,6.34,168,91,0,1,0
2021-12-29,427,62,267,16,127,42,407,3.53,140,11,0,17,7,95,1250,6.34,168,91,0,1,0
2021-12-30,400,119,230,16,51,,,,,,,,,,,,,,,,
2021-12-31,441,63,214,67,164,35,386,3.7,152,24,0,7,1,,,,,,,,
2021-12-31,441,63,214,67,164,35,386,3.7,152,24,0,7,1,,,,,,,,
2022-01-01,350,82,167,0,101,46,499,3.95,150,20,2,13,6,,,,,,,,
2022-01-01,350,82,167,0,101,46,499,3.95,150,20,2,13,6,,,,,,,,
2022-01-02,487,113,262,17,112,50,500,3.69,144,13,0,26,6,,,,,,,,
2022-01-02,487,113,262,17,112,50,500,3.69,144,13,0,26,6,,,,,,,,
2022-01-03,402,108,207,0,87,28,270,4.34,143,5,0,19,1,26,326,5.79,163,22,0,1,0
2022-01-03,402,108,207,0,87,26,326,5.79,163,22,0,1,0,26,326,5.79,163,22,0,1,0
2022-01-03,402,108,207,0,87,28,270,4.34,143,5,0,19,1,26,326,5.79,163,22,0,1,0
