date,duration,calories,avgspeed,avghr,aerobic,anaerobic,fatburn,warmup
2021-12-17,38,312,3.99,126,2,0,9,24
2021-12-18,15,117,4.21,123,0,0,0,13
2021-12-19,41,386,4.42,140,1,0,33,5
2021-12-20,26,344,4.7,168,2,15,2,3
2021-12-21,38,356,4.69,138,0,0,28,7
2021-12-22,26,281,4.58,150,2,4,18,0
2021-12-23,26,194,4.61,120,0,0,2,19
2021-12-24,38,418,4.71,151,6,5,22,3
2021-12-28,34,284,3.84,131,5,0,13,5
2021-12-29,42,407,3.53,140,11,0,17,7
2021-12-31,35,386,3.7,152,24,0,7,1
2022-01-01,46,499,3.95,150,20,2,13,6
2022-01-02,50,500,3.69,144,13,0,26,6
2022-01-03,28,270,4.34,143,5,0,19,1
2022-01-04,30,383,4.26,163,27,0,0,0
2022-01-05,30,282,4.36,138,5,0,9,14
2022-01-06,32,270,4.26,129,0,0,12,18
2022-01-07,28,262,4.38,140,2,0,17,8
2022-01-08,29,358,4.2,162,26,0,0,0
2022-01-09,46,269,3.97,109,0,0,1,15
2022-01-10,28,229,4.37,129,0,0,11,15
2022-01-11,34,297,4.29,135,1,0,20,10
2022-01-12,35,295,4.48,133,0,0,23,10
2022-01-13,28,246,4.35,135,0,0,20,5
2022-01-16,42,280,3.61,114,31,0,0,0
2022-01-17,32,289,4.25,133,7,0,7,16
2022-01-19,54,379,3.5,117,1,0,5,29
2022-01-20,35,248,3.7,118,0,0,5,17
2022-01-21,46,293,3.9,111,0,0,0,26
2022-01-22,36,241,3.7,115,0,0,0,24
2022-01-24,29,226,4.51,124,0,0,6,19
2022-01-25,29,262,4.23,124,0,0,23,5
2022-01-26,22,138,2.69,110,0,0,0,12
2022-01-28,15,98,4,113,0,0,0,8
2022-01-29,21,124,3.8,109,0,0,0,9
2022-01-31,32,261,4.25,123,0,0,0,31
2022-02-01,28,226,4.24,124,0,0,1,25
2022-02-02,29,257,4.22,134,4,0,6,17
2022-02-03,28,248,4.24,132,4,0,7,14
2022-02-04,39,329,4.2,129,3,0,9,21
2022-02-05,62,396,3.87,111,0,0,0,31
2022-02-06,74,473,4.05,112,0,0,0,43
2022-02-07,32,207,3.78,112,0,0,0,19
2022-02-08,15,101,3.98,113,0,0,0,11
2022-02-10,14,109,4.44,126,0,0,2,9
2022-02-14,30,225,4.44,119,0,0,0,28
